Date,Close,ret_0d,ret_1d,ret_3d,ret_5d,direction_1d
2020-01-02,1.5774999856948853,,-0.06814577373026232,-0.12519809334657994,-0.1204437018916833,0
2020-01-03,1.4700000286102295,-0.06814577373026232,-0.0051020763987182915,-0.027210938968575293,-0.07653065941225445,0
2020-01-06,1.462499976158142,-0.0051020763987182915,-0.056410244288163214,-0.05128200321168175,-0.07179488600698103,0
2020-01-07,1.3799999952316284,-0.056410244288163214,0.036231849629747126,-0.016304375525157955,-0.1467391205757912,1
2020-01-08,1.4299999475479126,0.036231849629747126,-0.029720210785373347,-0.05069929588988864,-0.1940558911524113,0
2020-01-09,1.3875000476837158,-0.029720210785373347,-0.02162168617517668,-0.15135137364322648,-0.1675676167954585,0
2020-01-10,1.3574999570846558,-0.02162168617517668,0.0,-0.15101283991662817,-0.12523017492372146,0
2020-01-13,1.3574999570846558,0.0,-0.13259665063598047,-0.149171264896222,-0.15469607777275762,0
2020-01-14,1.1775000095367432,-0.13259665063598047,-0.021231402085489348,0.008492560834195695,-0.03184715374788938,0
2020-01-15,1.152500033378601,-0.021231402085489348,0.002169143547736674,-0.00433839053086249,0.002169143547736674,1
2020-01-16,1.1549999713897705,0.002169143547736674,0.02813855360630302,-0.012987000923330161,-0.0649350046166508,1
2020-01-17,1.1875,0.02813855360630302,-0.033684178402549336,-0.027368445145456444,-0.09894732425087371,0
2020-01-21,1.1475000381469727,-0.033684178402549336,-0.006535993205018742,-0.058823523300818414,-0.08278869320443705,0
2020-01-22,1.1399999856948853,-0.006535993205018742,0.013157882353605599,-0.061403450983492314,-0.09429820915228282,1
2020-01-23,1.1549999713897705,0.013157882353605599,-0.0649350046166508,-0.0887445579151771,-0.1493506138298054,0
2020-01-24,1.0800000429153442,-0.0649350046166508,-0.009259250061012025,-0.04398149297929055,-0.11111116630059481,0
2020-01-27,1.0700000524520874,-0.009259250061012025,-0.016355179492972827,-0.08177573034904595,-0.07710283783827443,0
2020-01-28,1.0525000095367432,-0.016355179492972827,-0.019002357002653736,-0.08788601440025556,-0.033254124754644065,0
2020-01-29,1.0325000286102295,-0.019002357002653736,-0.04842616032488656,-0.043583550065244725,0.012106467920636854,0
2020-01-30,0.9825000166893005,-0.04842616032488656,-0.022900801796207904,0.035623435757265565,0.053435062636442376,0
2020-01-31,0.9599999785423279,-0.022900801796207904,0.028645868742994463,0.08854164629398498,-0.007812492724042275,1
2020-02-03,0.987500011920929,0.028645868742994463,0.030379777855453316,0.04810121936917344,-0.002531643124693339,1
2020-02-04,1.0175000429153442,0.030379777855453316,0.027026941532620086,-0.06388211742401562,-0.01228505863046514,1
2020-02-05,1.0449999570846558,0.027026941532620086,-0.009569369257348859,-0.057416215544093485,0.002392399352277197,0
2020-02-06,1.034999966621399,-0.009569369257348859,-0.07971012906968722,-0.02898548053842054,-0.007246312545574507,0
2020-02-07,0.9524999856948853,-0.07971012906968722,0.03412076545756526,0.09973756434329317,0.05511812107634029,1
2020-02-10,0.9850000143051147,0.03412076545756526,0.020304548869091166,0.043147226859147514,0.030456823303636638,1
2020-02-11,1.0049999952316284,0.020304548869091166,0.04228857639316819,0.0,0.03233833707903555,1
2020-02-12,1.0475000143051147,0.04228857639316819,-0.019093060289627872,-0.031026279872453433,-0.01193321958282556,0
2020-02-13,1.027500033378601,-0.019093060289627872,-0.02189784663362837,0.009732350499663811,-0.017031671383796465,0
2020-02-14,1.0049999952316284,-0.02189784663362837,0.009950239314132636,0.02985071794239791,-0.0796019738211654,1
2020-02-18,1.0149999856948853,0.009950239314132636,0.022167525580375935,-0.004926103745908295,-0.12315271109528436,1
2020-02-19,1.037500023841858,0.022167525580375935,-0.002409693651091449,-0.10843374393799232,-0.18313252361406707,0
2020-02-20,1.034999966621399,-0.002409693651091449,-0.024154567115350467,-0.14009660444709404,-0.16183571485090953,0
2020-02-21,1.0099999904632568,-0.024154567115350467,-0.08415839539101477,-0.16089105521939584,-0.10891090628096045,0
2020-02-24,0.925000011920929,-0.08415839539101477,-0.03783786570268233,-0.062162166516044115,0.035135101174855965,0
2020-02-25,0.8899999856948853,-0.03783786570268233,-0.04775276421567454,0.01123594452133525,0.019662969883848636,0
