Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2020-01-02,110.94512939453125,112.09688419806135,110.3896621273994,111.80281622468668,3784100
2020-01-03,110.7899398803711,111.73748128595332,110.38151277762161,110.65107616114099,4000100
2020-01-06,111.21467590332031,111.35355206279387,110.43866703483496,110.52035742697188,4085100
2020-01-07,109.46663665771484,111.14936693033773,109.41762739559897,111.09218114839784,5718100
2020-01-08,110.03024291992188,110.56936960823084,109.51563332126715,109.83420591632168,3681400
2020-01-09,110.10376739501953,110.58572082507335,109.89138979927414,110.51219447744133,3954700
2020-01-10,109.89140319824219,110.61840299502727,109.77704409978858,110.41418942891677,3099500
2020-01-13,111.52509307861328,111.57410233201168,109.9730752213748,109.98940332970437,5127200
2020-01-14,111.78649139404297,111.86000527349063,110.84710167679441,111.23918816472,4159700
2020-01-15,113.70608520507812,113.74693040183341,111.7456404028646,111.9416774045635,5002600
2020-01-16,114.04102325439453,114.49029558833398,113.21600494240157,113.82864563480805,4977900
2020-01-17,115.38885498046875,115.4378767173457,114.2779324312426,114.441313292413,6908700
2020-01-21,115.87894439697266,116.09132201484616,114.63732244706546,114.85787658453077,4440000
2020-01-22,117.12055206298828,117.27575634582398,115.76457118202977,115.8380850641503,5366100
2020-01-23,117.34109497070312,117.5044757738897,116.29552264417666,116.88365863587346,3915700
2020-01-24,116.74480438232422,117.74953158944955,116.36088189930278,117.48814471874498,2791500
2020-01-27,116.10765075683594,117.10421383735209,115.21728270653713,115.70738772803668,3895300
2020-01-28,116.35270690917969,116.74479341049089,115.79723960680076,116.09948411741192,2908300
2020-01-29,115.77273559570312,116.36087158290297,115.31529926437106,115.99328970695437,3263200
2020-01-30,117.48812866210938,117.59432368542947,115.6011976538486,116.25468343761023,4058500
2020-01-31,116.00962829589844,118.15794620553388,115.64204642623652,117.47179172027096,4753100
2020-02-03,116.40990447998047,116.86735336842297,115.86261358211334,116.62229457995214,3977800
2020-02-04,116.98989868164062,117.67605344791056,116.07502565994736,116.97355810219321,3494300
2020-02-05,117.87207794189453,118.10896020456096,117.16140622548033,117.36561980040939,3504900
2020-02-06,117.89654541015625,118.68889482825156,117.6841678462908,118.14976816897368,3571400
2020-02-07,118.74609375,119.03199771214592,117.48814373781157,117.8393850689334,3138500
2020-02-10,118.98297882080078,119.60378348946296,118.55004711719864,119.203520467704,3775600
2020-02-11,119.3260498046875,119.55476795819814,118.33765084799863,119.43224482746191,3870500
2020-02-12,119.3260498046875,119.86517650833596,118.72974979476363,119.81615479183692,4217400
2020-02-13,119.64463806152344,120.1837648357041,117.23492061622073,118.64807492047656,5041400
2020-02-14,120.06939697265625,120.20008416492377,119.21169761533585,119.72631972256914,3555600
2020-02-18,118.93396759033203,120.24092673383815,118.7705867912144,120.16741285275822,4938700
2020-02-19,118.8768081665039,119.6528172774929,118.84413947796246,118.95032206387799,2978800
2020-02-20,118.57456970214844,119.09735594024916,117.58617054388247,119.07285130910437,2805900
2020-02-21,119.13818359375,119.1953569032619,118.28864829187259,118.49286183079626,4271800
2020-02-24,116.51608276367188,120.20009072406687,116.45073293186944,119.1463542887417,5027700
2020-02-25,115.25813293457031,117.93741372107914,114.82520120447141,116.4752377189515,7585800
2020-02-26,115.97693634033203,117.42277152138986,115.30712249025687,116.35269469345016,6157200
2020-02-27,111.39437103271484,116.92447585651804,111.34536178916896,115.51132198940165,8605000
2020-02-28,107.84925842285156,109.25424863609331,104.84324096656142,108.8376574835483,14164000
2020-03-02,112.38280487060547,112.53800916638473,107.5960386518968,107.82475683592743,8504500
2020-03-03,110.74909210205078,114.0900227334468,110.06293757679596,112.06422784089203,8728300
2020-03-04,116.31189727783203,116.57329666811387,111.1003622280208,111.24740250110656,7635700
2020-03-05,113.56926727294922,116.29952831247611,112.39327200759116,114.15314276722573,6579100
2020-03-06,112.87846374511719,113.62682320520898,108.10049765868928,108.19095883022088,6754900
2020-03-09,107.03966522216797,109.66302711352465,105.41136384578691,107.0561035847322,8716300
2020-03-10,110.31269836425781,110.66632394794894,104.32584647006648,108.5939482773846,8258600
2020-03-11,106.70247650146484,108.99688261362539,104.95905034924742,107.38504490897378,7465100
2020-03-12,94.85212707519531,102.79622213326185,93.41297996532964,100.41134852493349,12808300
2020-03-13,104.81105041503906,104.92618170917692,94.6301124210352,99.24360846559564,12007700
2020-03-16,93.00180053710938,101.82583152374497,92.10542043908723,94.31759727701484,10733300
2020-03-17,105.0330810546875,105.14821233483164,95.71562889921394,95.97056155179251,14242300
2020-03-18,99.44095611572266,105.0330733444367,93.56101070777711,99.37516502498868,15250800
2020-03-19,96.4968490600586,100.40310478990702,95.44421694093704,99.86034409843974,9393500
2020-03-20,85.4688949584961,97.40970188854433,83.40474497006971,97.23700498063063,13093200
2020-03-23,86.49686431884766,92.82089071032878,84.59719190182143,87.1712073701779,13926800
2020-03-24,93.61857604980469,94.10377749971538,89.94258827369846,90.40311335902355,11447000
2020-03-25,92.5166015625,95.69094946026802,91.3159424195687,92.7139685557286,9485500
2020-03-26,98.89820861816406,100.16465905147986,92.58240736357541,92.68931319477402,10376800
2020-03-27,99.06265258789062,102.50838361354313,97.03139843980954,97.50837436814089,9852500
2020-03-30,103.19097137451172,103.48701874779152,99.92616207133507,100.00839780136747,6916800
2020-03-31,98.7666015625,103.37187071380066,98.29785107569977,102.74687424752237,7091700
2020-04-01,97.13832092285156,100.57582686308514,95.12351119214473,96.43930158870181,6873000
2020-04-02,101.85872650146484,102.9442544139028,95.7896394829505,96.39819139354262,6181800
2020-04-03,102.45904541015625,103.10049909341653,100.69095544509975,101.30773276524039,5552000
2020-04-06,107.86202239990234,108.65972208329782,103.03470957540424,105.80609796813401,8242200
2020-04-07,107.30282592773438,111.08573265945093,107.1465736318757,109.13671992312175,6253900
2020-04-08,109.054443359375,109.61364871647072,106.1926003972074,106.61200441502919,5241100
2020-04-09,109.89329528808594,111.0857291500748,108.14986254283305,108.6268385973024,5502400
2020-04-13,107.63997650146484,109.66301161575068,106.43931114043288,108.29787481374126,3785000
2020-04-14,113.81597137451172,114.00512545681121,108.84064429483207,109.55610198067444,6278700
2020-04-15,111.04458618164062,113.12518064232985,109.95083290988295,112.77978685362214,5773100
2020-04-16,111.54623413085938,112.63998742125212,110.07419777664161,112.63998742125212,4564000
2020-04-17,113.11695861816406,113.48702248616308,110.94590303775472,113.26497914601718,4866500
2020-04-20,110.64986419677734,112.97717234378925,110.61696237617602,112.61532760738204,3995400
2020-04-21,107.68109130859375,109.32583072055121,107.39325689215484,108.66793244609505,4359500
2020-04-22,109.06266784667969,109.92615855915236,107.91135526229348,108.91464732084405,4084600
2020-04-23,107.12190246582031,110.31270180676252,106.93276089563776,108.96401562473827,5527700
2020-04-24,110.4936294555664,110.87192516231113,107.44263135153602,107.62355374845264,4063100
2020-04-27,110.57584381103516,111.19262113304404,110.10708702309236,110.54294199344264,4009200
2020-04-28,112.10546112060547,113.22387204169333,110.74032419275846,112.48374421488688,6674200
2020-04-29,109.67121887207031,112.648193039706,109.29292330542172,112.47550243738345,6706800
2020-04-30,108.7912826538086,109.51497200902472,107.25345532234019,108.88997555120724,6783000
2020-05-01,107.023193359375,108.74194303848591,106.51332815559581,107.82911216014085,4488000
2020-05-04,107.6646499633789,108.01827549350796,106.3488658459685,107.04787262911456,5245300
2020-05-05,108.28144073486328,109.64657774905021,107.54131286124647,108.25677064230062,3580000
2020-05-06,107.54953002929688,108.74196382485407,107.4755197529944,108.2074284315117,4192200
2020-05-07,108.18275451660156,108.5528184334055,107.00675912508838,108.18275451660156,5528000
2020-05-08,110.38667297363281,111.15148326197311,108.93108774947986,109.43273373049645,4209100
2020-05-11,110.51004028320312,112.00674655763093,109.51496746110419,109.72877905791808,3591100
2020-05-12,109.32583618164062,112.15479011925908,109.26004509607199,110.82254259613575,3914600
2020-05-13,109.34229278564453,110.58406665097294,108.10050637194897,109.52320259492352,5168500
2020-05-14,109.44097137451172,109.83570535373256,107.03142140394978,109.13669857265053,5522200
2020-05-15,111.80115509033203,113.20741275943195,109.20246389912877,110.00839521749735,20338200
2020-05-18,111.44756317138672,113.4788176607555,111.06926752729933,112.5413165539982,8480300
2020-05-19,108.33075714111328,110.82253632993822,108.05937363412488,110.55115282294982,6640300
2020-05-20,107.94425201416016,109.11201558739646,107.18767332790989,108.99688432097504,8213100
2020-05-21,107.08075714111328,108.09226829228497,106.58733033410198,107.71397273379431,4886300
2020-05-22,107.30282592773438,107.42618894737674,106.22552331738585,106.58736809761241,3429200
2020-05-26,106.70247650146484,108.59392946164584,106.41464206573656,108.50346828599125,5579300
2020-05-27,107.5741958618164,107.59886595294037,105.74031464751666,106.67781575533114,5686500
2020-05-28,108.7912826538086,109.15312733141666,106.99852272176156,107.90313441578171,4974400
2020-05-29,108.18275451660156,108.75019171160595,107.17124313110601,108.56103761435924,13337900
2020-06-01,109.36697387695312,110.15644192758062,107.88670559656606,108.22388025594807,4049200
2020-06-02,109.07090759277344,110.04129790689584,107.82912119793623,109.41630139347973,5327500
2020-06-03,109.22715759277344,110.42781041579767,109.04623524162731,109.57255138631602,5421200
2020-06-04,108.21028137207031,110.68824465929032,107.88705557380673,109.05560029659013,5229700
2020-06-05,109.76004791259766,110.65510265842266,108.37603193813041,108.56664158483099,7075700
2020-06-08,109.56942749023438,109.78489869375888,108.76553615811086,108.88156105935725,5613000
2020-06-09,110.19927978515625,110.34844924485095,108.60807565291435,109.25450193645743,6446900
2020-06-10,111.16065216064453,112.01426680213613,110.36504365764546,110.45620700022069,7069900
2020-06-11,105.9477767944336,111.997676012845,105.63285294164174,111.23522479689628,8541000
2020-06-12,106.90912628173828,107.67986042449944,105.60798445510065,107.03343416096881,7039500
2020-06-15,108.13570404052734,108.53351464486065,104.8621317310369,106.32073267628506,5481000
2020-06-16,109.12191772460938,110.27388401263084,107.83734790734708,109.95895379212602,5197700
2020-06-17,109.19647979736328,110.2572825195195,108.97272561471263,109.30422172322422,3309700
2020-06-18,110.04180145263672,110.33187000591556,108.25998789896614,108.91469708062564,3417200
2020-06-19,108.79869079589844,111.73248344272265,108.74896764015006,111.39269168408609,8310100
2020-06-22,108.60807800292969,109.19648552325674,107.69644468807093,108.19370152267872,3379900
2020-06-23,108.864990234375,109.95893757484974,108.5500600603176,109.08046145328618,3625600
2020-06-24,107.37323760986328,108.62466274426359,106.64393091674349,108.16884606106372,4853500
2020-06-25,108.90641021728516,109.17160454171092,106.12180025911051,107.02513779051249,4442000
2020-06-26,106.85111999511719,109.7020323858013,106.13010891978476,109.13019078297872,7372700
2020-06-29,108.63292694091797,108.89812128162527,107.26547712772916,107.88704177578812,4173900
2020-06-30,109.61083984375,110.07495203024659,108.44230801646417,109.25448221274611,4626700
2020-07-01,109.69374084472656,110.73796500807876,109.34566612360916,109.83462732857649,3633000
2020-07-02,110.0998306274414,111.19377790750502,109.84290659945462,110.67165952056214,2769200
2020-07-06,110.47276306152344,111.0114473831575,109.65229314575416,110.29043641357471,4221600
2020-07-07,110.69654083251953,111.56672133880552,109.53627908119351,109.61915943691923,4424500
2020-07-08,111.2352294921875,111.62474441672214,110.35675332903018,111.18550633514347,3798200
2020-07-09,109.98381042480469,111.00317302051798,109.17162342245653,110.14126286410087,4005200
2020-07-10,111.43412780761719,111.79048550802482,108.79868683694826,109.7020245222186,5932800
2020-07-13,111.80706787109375,114.42593033000566,111.44241453557855,113.34854892391994,8960000
2020-07-14,112.31261444091797,113.49772520674601,111.26009454943056,111.541867545335,6766800
2020-07-15,110.79598999023438,112.86787247895664,110.43133664889652,112.17172299773007,5561300
2020-07-16,110.95344543457031,111.35124329699906,110.26557899063697,111.10261489081883,3788100
2020-07-17,111.59986877441406,111.93136487677741,110.67995254772522,111.59157315210727,3229300
2020-07-20,110.3153076171875,111.5584370640137,109.54456078435659,111.5584370640137,3620300
2020-07-21,111.40926361083984,113.0502037130997,110.87886217814703,111.05290587836282,5435400
2020-07-22,112.71868133544922,112.91758659091084,110.78768549313656,112.34574504650402,3522300
2020-07-23,113.60548400878906,113.74637052765155,112.28776952727857,113.19939041034809,5011400
2020-07-24,112.76014709472656,114.89833165443969,112.20488402373515,113.53089406946651,3300000
2020-07-27,114.09442138671875,114.16900612003118,111.75734455589392,112.3208905130549,3607700
2020-07-28,113.8541030883789,114.85688724157527,113.61375761162476,114.35134735289797,3787500
2020-07-29,114.30986785888672,115.19663942659784,113.5722783712664,113.85406393460146,3179000
2020-07-30,114.1109848022461,114.550222812103,113.10818826445482,113.73804853954414,2817600
2020-07-31,114.08614349365234,114.11928805023489,112.04740550522057,113.75463469898956,4304100
2020-08-03,113.29052734375,113.95353224231314,112.71040279966972,113.63031909305653,2819200
2020-08-04,113.92865753173828,114.02810382904055,112.72696840486374,113.97009770420262,2553500
2020-08-05,112.91757202148438,114.49219732531303,112.51977420765394,114.49219732531303,2924000
